index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,452.0,323.0
0,polygon,1,447.0,412.0
0,polygon,2,449.0,511.0
0,polygon,3,458.0,591.0
0,polygon,4,575.0,591.0
0,polygon,5,588.0,522.0
0,polygon,6,586.0,416.0
0,polygon,7,581.0,324.0
0,polygon,8,516.0,322.0
0,polygon,9,452.0,323.0
1,polygon,0,460.0,707.0
1,polygon,1,449.0,793.0
1,polygon,2,452.0,893.0
1,polygon,3,453.0,983.0
1,polygon,4,515.0,986.0
1,polygon,5,587.0,984.0
1,polygon,6,590.0,899.0
1,polygon,7,589.0,791.0
1,polygon,8,577.0,705.0
1,polygon,9,460.0,707.0
2,polygon,0,574.0,592.0
2,polygon,1,576.0,706.0
2,polygon,2,643.0,714.0
2,polygon,3,740.0,711.0
2,polygon,4,829.0,711.0
2,polygon,5,828.0,642.0
2,polygon,6,827.0,583.0
2,polygon,7,749.0,579.0
2,polygon,8,659.0,580.0
2,polygon,9,574.0,592.0
3,polygon,0,198.0,587.0
3,polygon,1,196.0,651.0
3,polygon,2,201.0,716.0
3,polygon,3,291.0,717.0
3,polygon,4,383.0,721.0
3,polygon,5,458.0,707.0
3,polygon,6,457.0,590.0
3,polygon,7,381.0,579.0
3,polygon,8,278.0,580.0
3,polygon,9,198.0,587.0
4,polygon,0,458.0,591.0
4,polygon,1,459.0,707.0
4,polygon,2,576.0,707.0
4,polygon,3,575.0,590.0
4,polygon,4,458.0,591.0
